Package Name,Package Type,Duration,Ratings,Discount,New Prices,Old Prices,Cities,1D Cities,2D Cities,3D Cities,Days,Nights,Discount_num,Ratings_num
Alleppey-Munnar Kerala Weekend Tour ,Customizable,4 Days & 3 Nights,3 Star,24% Off,13020,17132.0,Munnar (2D)Alleppey (2D),,"Munnar, Alleppey",,4,3,24.0,3
Charismatic Kochi Tour Package,Customizable,4 Days & 3 Nights,4 Star,9% Off,15000,16484.0,Kochi (1D)Munnar (3D),Kochi,,Munnar,4,3,9.0,4
Hills & Houseboat: Munnar and Alleppey Honeymoon Package ,Customizable,6 Days & 5 Nights,5 Star,10% Off,22000,24444.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kochi (2D),"Thekkady, Alleppey","Munnar, Kochi",,6,5,10.0,5
Vibrant Kochi Munnar Honeymoon Tour Package,Customizable,4 Days & 3 Nights,3 Star,10% Off,14571,16190.0,Cochin (1D)Munnar (3D),Cochin,,Munnar,4,3,10.0,3
Mesmerizing Getaway To Kochi,Customizable,2 Days & 1 Nights,3 Star,9% Off,4800,5275.0,Kochi (2D),,Kochi,,2,1,9.0,3
Kerala Wayanad Weekend Holiday,Customizable,3 Days & 2 Nights,4 Star,5% Off,8500,8947.0,Wayanad (3D),,,Wayanad,3,2,5.0,4
Trip To Mesmerising Munnar ,Customizable,4 Days & 3 Nights,5 Star,9% Off,15000,16484.0,Munnar (2D)Alleppey (2D),,"Munnar, Alleppey",,4,3,9.0,5
Best Selling Kerala Honeymoon Tour Package,Customizable,5 Days & 4 Nights,3 Star,28% Off,19040,26478.0,Munnar (2D)Thekkady (1D)Alleppey (2D),Thekkady,"Munnar, Alleppey",,5,4,28.0,3
Catch The Beauty Of The Setting Sun In Alleppey,Customizable,2 Days & 1 Nights,5 Star,9% Off,5000,5495.0,Alleppey (2D),,Alleppey,,2,1,9.0,5
Best Selling Kerala Houseboat & Jungle Safari Tour Package,Customizable,5 Days & 4 Nights,3 Star,19% Off,20048,24604.0,Munnar (2D)Thekkady (1D)Alleppey (2D),Thekkady,"Munnar, Alleppey",,5,4,19.0,3
Charming Alleppey Honeymoon Package,Customizable,3 Days & 2 Nights,3 Star,9% Off,7840,8615.0,Alleppey (3D),,,Alleppey,3,2,9.0,3
A Blissful Tour In Munnar,Customizable,3 Days & 2 Nights,4 Star,9% Off,6000,6593.0,Munnar (3D),,,Munnar,3,2,9.0,4
Top 5 Nights 6 Days Kerala Family Tour Packages For A Refreshing Getaway,Customizable,6 Days & 5 Nights,3 Star,18% Off,24279,29674.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kochi (2D),"Thekkady, Alleppey","Munnar, Kochi",,6,5,18.0,3
"Exploring Godâs Own Country, Kerala",Customizable,3 Days & 2 Nights,3 Star,10% Off,9092,10102.0,Munnar (1D)Alleppey (2D),Munnar,Alleppey,,3,2,10.0,3
Reasonable Munnar Thekkady Alleppey Honeymoon Packages,Customizable,4 Days & 3 Nights,4 Star,12% Off,14000,15909.0,Munnar (1D)Thekkady (1D)Alleppey (2D),"Munnar, Thekkady",Alleppey,,4,3,12.0,4
Ecstatic Athirapally Tour Package,Customizable,8 Days & 7 Nights,5 Star,9% Off,28123,30904.0,Athirapally (2D)Munnar (2D)Alleppey (1D)Kovalam (1D)Trivandrum (2D),"Alleppey, Kovalam","Athirapally, Munnar, Trivandrum",,8,7,9.0,5
Mesmerizing Kerala Holiday: Weekend in Munnar & Thekkady,Customizable,4 Days & 3 Nights,3 Star,29% Off,13167,18434.0,Munnar (2D)Thekkady (2D),,"Munnar, Thekkady",,4,3,29.0,3
Captivating Thekkady Honeymoon Package,Customizable,5 Days & 4 Nights,3 Star,10% Off,15624,17360.0,Kumarakom (1D)Thekkady (1D)Munnar (3D),"Kumarakom, Thekkady",,Munnar,5,4,10.0,3
A Surreal Escape To Mesmerising Destinations,Customizable,4 Days & 3 Nights,4 Star,21% Off,12880,16269.0,Munnar (2D)Alleppey (2D),,"Munnar, Alleppey",,4,3,21.0,4
Visit Kerala And See Astounding Places,Customizable,4 Days & 3 Nights,5 Star,11% Off,11760,13213.0,Munnar (1D)Thekkady (1D)Kochi (2D),"Munnar, Thekkady",Kochi,,4,3,11.0,5
