record_id,company_name,industry,country,company_size,month,year,layoffs_count,layoff_percentage,reason_for_layoffs,ai_automation_impact,ai_replacement_risk,open_roles,hiring_trend,remote_jobs_percentage,top_hiring_role,stock_growth_percent,revenue_growth_percent,salary_budget_change,ai_adoption_level,employee_sentiment,job_security_score,market_condition
T0,Microsoft,AI,Singapore,,Mar,2026,,1.8,AI Automation,6.4,5.0,5426.0,Moderate Hiring,46.7,ML Engineer,-25.7,30.3,4.9,4.4,8.7,8.6,Bull Market
T1,Palantir,AI,Canada,Big Tech,Feb,2024,,1.8,Cost Cutting,0.9,1.1,9666.0,Moderate Hiring,58.9,ML Engineer,-5.6,6.1,1.5,,8.2,7.2,Bull Market
T2,Anthropic,Cybersecurity,USA,Mid-size,Apr,2025,18912.0,9.5,Overhiring Correction,7.1,3.9,437.0,Hiring Freeze,,Frontend Developer,,-23.6,-14.9,5.6,4.5,5.9,Recession
T3,Spotify,Gaming,USA,Mid-size,Jun,2025,18159.0,9.1,Cost Cutting,10.4,7.4,1075.0,Hiring Freeze,44.0,Frontend Developer,31.6,-22.3,-1.6,6.5,5.4,4.7,Recession
T4,Uber,Gaming,UK,Startup,Feb,2025,,3.3,Market Slowdown,,10.0,537.0,Moderate Hiring,,Frontend Developer,85.3,26.6,9.8,9.3,6.7,5.8,Bull Market
T5,Databricks,FinTech,USA,Big Tech,Jul,2024,3568.0,32.7,Overhiring Correction,0.9,8.4,642.0,Downsizing,66.9,Data Scientist,,53.7,15.2,1.1,7.7,5.4,Recession
T6,Adobe,Gaming,Singapore,Enterprise,Dec,2024,3454.0,29.4,,6.7,10.0,1620.0,Downsizing,47.8,Product Manager,51.3,39.7,10.8,5.0,6.9,4.2,Recession
T7,Airbnb,Gaming,UK,Startup,Jul,2025,1038.0,1.1,Restructuring,6.2,5.8,763.0,Moderate Hiring,55.1,Data Scientist,-26.2,26.4,13.9,5.7,6.5,8.4,Bull Market
T8,Intel,,UK,Enterprise,Dec,2026,,9.3,AI Automation,9.5,10.0,5347.0,Moderate Hiring,27.5,Cloud Engineer,74.2,2.6,-6.1,6.4,5.8,6.0,Bull Market
T9,Databricks,Social Media,India,Mid-size,Jul,2025,1306.0,4.3,Overhiring Correction,5.1,3.5,5775.0,Moderate Hiring,52.7,DevOps Engineer,48.5,-2.1,-5.5,3.4,5.3,6.2,Bull Market
T10,Airbnb,Social Media,UK,Startup,Jun,2025,1136.0,0.6,Market Slowdown,5.3,5.4,1836.0,Hiring Freeze,32.8,Software Engineer,37.3,17.7,0.9,6.0,6.6,8.2,Bull Market
T11,Amazon,Cloud,Canada,Enterprise,Jul,2026,1153.0,5.3,Restructuring,3.5,4.8,3710.0,Hiring Freeze,70.9,,53.3,6.3,5.2,,7.3,,Bull Market
T12,Apple,FinTech,India,Mid-size,Dec,2026,10339.0,24.3,Restructuring,2.5,6.6,452.0,Downsizing,66.9,Cloud Engineer,2.1,-16.8,-4.3,1.8,,3.8,Recession
T13,Stripe,E-Commerce,UK,Mid-size,Feb,2024,1802.0,3.4,AI Automation,6.2,10.0,5930.0,Moderate Hiring,28.3,DevOps Engineer,87.6,,6.0,8.5,,7.2,Bull Market
T14,Apple,Social Media,India,Big Tech,Jul,2025,8158.0,18.8,Overhiring Correction,5.9,10.0,201.0,Hiring Freeze,42.4,Data Scientist,69.9,,24.9,6.0,7.8,5.9,Recession
T15,SAP,Cybersecurity,UK,Startup,Nov,2026,6592.0,29.2,Market Slowdown,2.7,8.9,871.0,Hiring Freeze,45.9,Data Scientist,-21.3,-23.5,-16.1,4.4,2.7,2.3,Recession
T16,Salesforce,AI,UK,Big Tech,Jan,2026,1218.0,6.6,Market Slowdown,9.4,5.4,4446.0,Moderate Hiring,30.0,Data Scientist,87.2,16.4,16.6,7.7,6.7,6.5,Bull Market
T17,,Gaming,India,Startup,Nov,2026,8022.0,23.8,Overhiring Correction,5.5,10.0,596.0,Downsizing,71.5,Cloud Engineer,89.3,14.9,-2.2,,7.1,4.6,
T18,Uber,Cloud,UK,Mid-size,Oct,2025,4420.0,21.7,Restructuring,16.0,10.0,240.0,Hiring Freeze,34.5,Software Engineer,-8.8,16.2,2.2,9.6,5.3,5.0,Recession
T19,Google,AI,UK,Enterprise,Apr,2026,625.0,6.2,AI Automation,15.9,7.3,2409.0,Moderate Hiring,35.8,ML Engineer,-26.6,,18.0,9.4,6.7,,Bull Market
